"country","age","sex","height","weight","hungry","fruit","vegetables","teeth","hands_eating","hands_toilet","hands_soap","sample_weight","bmi"
"aeh","16+","Male",1.7,58,"Sometimes","<1","1","0","Always","Always","Sometimes",30.3289,20.0692041522491
"aeh","16+","Male",1.72,85,"Never","<1","<1","2","Always","Most of the time","Always",30.3289,28.7317468902109
"aeh","16+","Male",NA,NA,"Never","<1","1","3","Always","Always","Always",30.3289,NA
"aeh","16+","Male",1.65,51,"Never","<1","2","1","Always","Always","Always",30.3289,18.732782369146
"aeh","15","Male",1.72,52,"Never","<1","<1","<1","Always","Always","Most of the time",30.3289,17.5770686857761
"aeh","16+","Male",1.71,88,"Rarely","<1","<1","<1","Always","Always","Always",30.3289,30.0947300023939
"aeh","16+","Male",1.63,70,"Always","2","<1","0","Always","Always","Always",15.3469,26.346494034401
"aeh","16+","Male",1.59,56,"Rarely","<1","1","1","Always","Always","Always",30.3289,22.1510225070211
"aeh","16+","Male",1.67,125,"Never","2","1","0","Always","Always","Always",30.3289,44.8205385635914
"aeh","16+","Male",1.74,54,"Never","2","2","0","Always","Always","Always",30.3289,17.8359096313912
"aeh","16+","Male",1.72,64,"Never","<1","3","<1","Most of the time","Most of the time","Most of the time",30.3289,21.6333153055706
"aeh","15","Male",1.76,71,"Never","<1","1","<1","Sometimes","Always","Most of the time",30.3289,22.9209710743802
"aeh","16+","Male",1.69,74,"Never","<1","<1","1","Always","Always","Always",30.3289,25.9094569517874
"aeh","16+","Male",1.6,66,"Never","1","1","1","Sometimes","Always","Rarely",30.3289,25.78125
"aeh","16+","Male",1.72,54,"Never","0","<1","0","Always","Sometimes","Sometimes",30.3289,18.2531097890752
"aeh","16+","Male",1.79,90,"Most of the time","<1","1","0","Always","Always","Always",30.3289,28.0890109547143
"aeh","16+","Male",1.78,58,"Never","<1","<1","<1","Always","Always","Always",30.3289,18.3057694735513
"aeh","16+","Male",1.67,50,"Rarely","<1","<1","2","Always","Always","Always",30.3289,17.9282154254366
"aeh","16+","Male",1.67,61,"Never","<1","1","<1","Always","Always","Sometimes",30.3289,21.8724228190326
"aeh","16+","Male",1.8,56,"Rarely","<1","1","1","Sometimes","Always","Sometimes",30.3289,17.2839506172839
