code|state_fips|county_fips|period|civilian|employed|unemployed|rate|county|state|state_code
CN010010|01|001|Jun-11|26328|23987|2341|8.9|autauga|alabama|AL
PA011000|01|003|Jun-11|88382|80841|7541|8.5|baldwin|alabama|AL
CN010050|01|005|Jun-11|9957|8774|1183|11.9|barbour|alabama|AL
CN010070|01|007|Jun-11|9360|8307|1053|11.3|bibb|alabama|AL
CN010090|01|009|Jun-11|26573|24168|2405|9.1|blount|alabama|AL
CN010110|01|011|Jun-11|3792|3191|601|15.8|bullock|alabama|AL
CN010130|01|013|Jun-11|9492|8309|1183|12.5|butler|alabama|AL
PA010250|01|015|Jun-11|54072|48670|5402|10.0|calhoun|alabama|AL
CN010170|01|017|Jun-11|14948|13129|1819|12.2|chambers|alabama|AL
CN010190|01|019|Jun-11|11809|10675|1134|9.6|cherokee|alabama|AL
CN010210|01|021|Jun-11|20143|18215|1928|9.6|chilton|alabama|AL
CN010230|01|023|Jun-11|5279|4589|690|13.1|choctaw|alabama|AL
CN010250|01|025|Jun-11|10243|8600|1643|16.0|clarke|alabama|AL
CN010270|01|027|Jun-11|5412|4761|651|12.0|clay|alabama|AL
CN010290|01|029|Jun-11|6494|5894|600|9.2|cleburne|alabama|AL
CN010310|01|031|Jun-11|22171|20403|1768|8.0|coffee|alabama|AL
PA010900|01|033|Jun-11|25215|22733|2482|9.8|colbert|alabama|AL
CN010350|01|035|Jun-11|4718|3981|737|15.6|conecuh|alabama|AL
CN010370|01|037|Jun-11|4674|4131|543|11.6|coosa|alabama|AL
CN010390|01|039|Jun-11|17232|15629|1603|9.3|covington|alabama|AL
CN010410|01|041|Jun-11|6820|6169|651|9.5|crenshaw|alabama|AL
PA010400|01|043|Jun-11|39134|35677|3457|8.8|cullman|alabama|AL
PA010450|01|045|Jun-11|21086|19136|1950|9.2|dale|alabama|AL
PA010500|01|047|Jun-11|15452|12702|2750|17.8|dallas|alabama|AL
PA010270|01|049|Jun-11|29939|26315|3624|12.1|dekalb|alabama|AL
CN010510|01|051|Jun-11|36392|32985|3407|9.4|elmore|alabama|AL
CN010530|01|053|Jun-11|15265|13496|1769|11.6|escambia|alabama|AL
PS010010|01|055|Jun-11|46281|41655|4626|10.0|etowah|alabama|AL
CN010570|01|057|Jun-11|6632|5868|764|11.5|fayette|alabama|AL
CN010590|01|059|Jun-11|13489|12132|1357|10.1|franklin|alabama|AL
CN010610|01|061|Jun-11|11375|10297|1078|9.5|geneva|alabama|AL
CN010630|01|063|Jun-11|3095|2653|442|14.3|greene|alabama|AL
CN010650|01|065|Jun-11|5797|5043|754|13.0|hale|alabama|AL
CN010670|01|067|Jun-11|7304|6589|715|9.8|henry|alabama|AL
PA010550|01|069|Jun-11|46488|42287|4201|9.0|houston|alabama|AL
PA010570|01|071|Jun-11|26673|24127|2546|9.5|jackson|alabama|AL
PS010050|01|073|Jun-11|309450|280051|29399|9.5|jefferson|alabama|AL
CN010750|01|075|Jun-11|5426|4828|598|11.0|lamar|alabama|AL
